,address,label,entity_name,entity_type,source,predicted_label
239,0x8A1ba492c2A0B5aF4c910A70D53BF8bb76C9A4c0,external_staking_contracts,Launchpool,misc,arkham,False
240,0xEB4BD5231274aA4C2B97a4fA06bAD9eCFCdad5E0,,Spaghetti.money,misc,arkham,True
241,0xfDC4a3FC36df16a78edCAf1B837d3ACAaeDB2CB4,,SCI Finance,misc,arkham,False
242,0xe05A884D4653289916D54Ce6aE0967707c519879,,Arca,real-world-assets,arkham,False
243,0xdAC7Bb7Ce4fF441A235F08408e632FA1D799A147,PCV,Avalanche,smart-contract-platform,arkham,False
244,0x40ec5B33f54e0E8A33A975908C5BA1c14e5BbbDf,bridge_contract,Polygon,smart-contract-platform,arkham,False
245,0x42A5Ed456650a09Dc10EBc6361A7480fDd61f27B,,THORChain,smart-contract-platform,arkham,False
246,0x2dCCDB493827E15a5dC8f8b72147E6c4A5620857,bridge_contract,Harmony,smart-contract-platform,arkham,False
247,0xC145990E84155416144C532E31f89B840Ca8c2cE,,THORChain,smart-contract-platform,arkham,False
248,0x18f773c288D9a5913f58D61f962DcE630F4D3BE6,,THORChain,smart-contract-platform,arkham,False
249,0xE78388b4CE79068e89Bf8aA7f218eF6b9AB0e9d0,,Avalanche,smart-contract-platform,arkham,False
250,0xa3A7B6F88361F48403514059F1F16C8E78d60EeC,bridge_contract,Arbitrum,smart-contract-platform,arkham,False
251,0x3624525075b88B24ecc29CE226b0CEc1fFcB6976,lp_amm,THORChain,smart-contract-platform,arkham,False
252,0xe61dd9cA7364225aFBFB79e15AD33864424e6aE4,,KCC,smart-contract-platform,arkham,False
253,0x99C9fc46f92E8a1c0deC1b1747d010903E884bE1,other_contracts,Optimism,smart-contract-platform,arkham,False
254,0x49ee75278820f409ecd67063D8D717B38d66bd71,,Frax Finance,stablecoin,arkham,False
255,0x5ae217dE26f6Ff5F481C6e10ec48b2cf2fc857C8,,Fei Protocol,stablecoin,arkham,False
256,0x6724F3FBb16F542401BfC42C464CE91b6C31001E,,balancer-vested-shareholders,vesting_contract,arkham,False
257,0x033E52f513F9B98e129381c6708F9faA2DEE5db5,,Yearn.Finance,yield,arkham,False
258,0x26607aC599266b21d13c7aCF7942c7701a8b699c,other_contracts,PowerPool,yield,arkham,False
259,0xb4bebD34f6DaaFd808f73De0d10235a92Fbb6c3D,other_contracts,PowerPool,yield,arkham,False
260,0xFA2562da1Bba7B954f26C74725dF51fb62646313,other_contracts,PowerPool,yield,arkham,False
261,0xCF50b810E57Ac33B91dCF525C6ddd9881B139332,PCV,Convex Finance,yield,arkham,False
262,0xe98ae8cD25CDC06562c29231Db339d17D02Fd486,external_staking_contracts,Fiat DAO,yield,arkham,False
263,0x086C98855dF3C78C6b481b6e1D47BeF42E9aC36B,PCV,Dinero (Prev. Redacted Cartel),yield,arkham,False
264,0x5958A8DB7dfE0CC49382209069b00F54e17929C2,,Convex Finance,yield,arkham,False
265,0xA52Fd396891E7A74b641a2Cb1A6999Fcf56B077e,,Dinero (Prev. Redacted Cartel),yield,arkham,False
266,0x355D72Fb52AD4591B2066E43e89A7A38CF5cb341,,Wonderland,yield,arkham,False
267,0x378Ba9B73309bE80BF4C2c027aAD799766a7ED5A,other_contracts,Votium,yield,arkham,False
268,0x0D5Dc686d0a2ABBfDaFDFb4D0533E886517d4E83,,Keep3r Network,yield,arkham,False
